Año	Título	Corpus estilométrico
1964	Te defiendo sin amor	Sí
1964	Te encontré para esto	Sí
1965	¿Por qué te quiero así?	No
1965	Apuesta atrevida	No
1965	Aquel día nació Mae	No
1965	Ardiente sacrificio	Sí
1965	Ayúdame a olvidar	Sí
1965	Déjame hacerte feliz	No
1965	Destrúyeme después	No
1965	El destino viajaba en tren	Sí
1965	El doloroso ayer	Sí
1965	El novio de mi vecina	Sí
1965	El peso de tu personalidad	Sí
1965	Eres una aventurera	Sí
1965	La loca de los Guzmán	No
1965	La noche que te vi	No
1965	Me dejaste injustamente	Sí
1965	Me inquietó tu boda	Sí
1965	Mentira sentimental	No
1965	Mi encuentro con ella	No
1965	Mi marido y sus hijos	Sí
1965	Mónica en apuros	Sí
1965	Muchachita loca	No
1965	No me compadezcas	Sí
1965	No me engañes otra vez	Sí
1965	No me odies	Sí
1965	No seré tu esclava	Sí
1965	No soy como piensas	No
1965	No te cases con él	No
1965	No te quieren para mí	No
1965	Nos conocimos así	Sí
1965	Odiosa esclavitud	Sí
1965	Orgullo y ternura	Sí
1965	Salvaré a mi marido	Sí
1965	Soy un soltero feliz	No
1965	Te amo, Edgar	Sí
1965	Tú me diste la felicidad	Sí
1965	Un hombre ante mi puerta	Sí
1965	Vengo a pagar mi deuda	No
1965	Ya me llamarás	Sí
1966	A ti te quiero más	Sí
1966	Altiva muchacha	Sí
1966	Amor en las cumbres	Sí
1966	Ayúdame tú	Sí
1966	Barreras para el amor	Sí
1966	Cruel desconfianza	No
1966	Déjame quererte	No
1966	Dinero para amar	No
1966	El fantasma de sí mismo	Sí
1966	El padre de mis sobrinos	Sí
1966	El pasado vuelve conmigo	No
1966	Elige tu camino	Sí
1966	Eres una pecadora	No
1966	Has amado a mi hermano	No
1966	La condenada	No
1966	La vida empieza contigo	Sí
1966	Me casaron contigo	No
1966	Me llamaste aquel día	Sí
1966	Me lo presentó mi novio	No
1966	Me ofenden tus celos	No
1966	Me olvidaste al otro día	Sí
1966	Mi felicidad eres tú	Sí
1966	No eres buena	Sí
1966	No me digas que me quieres	No
1966	No olvidaré tu traición	Sí
1966	No puedo ser para ti	Sí
1966	No quisiera recordarte	No
1966	No quisiera ser así	No
1966	No se lo digas a nadie	No
1966	No soy nadie para ti	No
1966	Nunca olvidé a Polly	No
1966	Por encima de todo estás tú	No
1966	Por eso me casé contigo	Sí
1966	Por favor, Nicolás	No
1966	Por quererla tanto soy así	Sí
1966	Pudo más que el orgullo	Sí
